id,recetteid,unit,quantite,ingredient,unit_en,quantite_en,ingredient_en
2035,219,,0.5,oignon,,0.5,onion
2036,219,cuillères,4.0,huile d'olive,spoons,4.0,olive oil
2037,219,g,300.0,riz,g,300.0,rice
2038,219,,1.0,lbouillon,,1.0,broth
2039,219,g,100.0,parmesan râpé,g,100.0,grated parmesan
2040,219,"verre, blanc",1.0,vin sec,"glass, white",1.0,dry wine
2041,220,,,beurre,,,butter
2042,220,,,épices,,,spices
2043,220,,,curry,,,curry
2044,220,,,poivre,,,pepper
2045,220,,,persil,,,parsley
2046,220,kg,2.0,coques,kg,2.0,shells
2047,220,,1.0,échalote,,1.0,shallot
2048,220,,,ail,,,garlic
2049,220,,,ciboulette,,,chives
2050,221,g,50.0,beurre,g,50.0,butter
2051,221,cuillère à soupe,1.0,crème fraîche,tablespoon,1.0,sour cream
2052,221,,2.0,oignons,,2.0,onions
2053,221,,2.0,tomates,,2.0,tomatoes
2054,221,pots,2.0,petits yaourt,pots,2.0,small yogurts
2055,221,,,sel,,,salt
2056,221,,2.0,clous de girofle,,2.0,cloves
2057,221,cuillères à café,2.0,piment,teaspoons,2.0,pepper
2058,221,cuillère à café,1.0,cumin en poudre,teaspoon,1.0,cumin powder
2059,221,,1.0,poulet,,1.0,chicken
2060,221,cuillère à soupe,1,tandoori,tablespoon,1,tandoori
2061,221,cuillère à soupe,1.0,garam masala,tablespoon,1.0,garam masala
2062,221,cuillère à café,1,cannelle,teaspoon,1,cinnamon
2063,221,gousses,3,ail,pods,3,garlic
2064,221,cuillère à soupe,1.0,noix de cajou,tablespoon,1.0,cashew nuts
2065,221,"cuillères à soupe, feuilles",2.0,de coriandre,roast beef,2.0,coriander
2066,222,"pincée, gros",1.0,sel,"pinch, big",1.0,salt
2067,222,,1.0,oeuf,,1.0,egg
2068,222,cuillères à soupe,4.0,eau,tablespoons,4.0,water
2069,223,,4.0,oignons,,4.0,onions
2070,223,g,400.0,gruyère râpé,g,400.0,grated gruyere
2071,223,,,lasagnes,,,lasagna
2072,223,,,sel,,,salt
2073,223,,,poivre,,,pepper
2074,223,,4.0,courgettes,,4.0,zucchini
2075,223,,6.0,tomates,,6.0,tomatoes
2076,223,,,basilic frais,,,fresh basil
2077,223,,,herbes de Provence,,,herbs of Provence
2078,223,g,200.0,coulis de tomate,g,200.0,tomato coulis
2079,223,cl,50,béchamel,cl,50,bechamel
2080,224,g,30.0,beurre,g,30.0,butter
2081,224,,,poivre,,,pepper
2082,224,,,sel,,,salt
2083,224,cl,50.0,vin,cl,50.0,wine
2084,224,cuillère à soupe,1.0,fond de veau,tablespoon,1.0,veal stock
2085,224,,2.0,bavettes,,2.0,bibs
2086,224,,4.0,échalotes,,4.0,shallots
2087,225,cl,2.0,whisky,cl,2.0,whiskey
2088,225,,,margarine,,,margarine
2089,225,,,persil,,,parsley
2090,225,,3.0,oignons,,3.0,onions
2091,225,gousse,1.0,ail,pod,1.0,garlic
2092,225,g,300.0,champignons de Paris,g,300.0,button mushrooms
2093,225,,20.0,crevettes roses,,20.0,pink shrimps
2094,225,g,400.0,noix de saint-jacques,g,400.0,scallops
2095,225,cuillères à soupe,2.0,farine,tablespoons,2.0,flour
2096,225,cl,20.0,crème fraîche,cl,20.0,sour cream
2097,225,"cl, blanc",15,vin,"cl, white",15,wine
2098,226,,,persil,,,parsley
2099,226,,,poivre,,,pepper
2100,226,,,sel,,,salt
2101,226,,,huile d'olive,,,olive oil
2102,226,g,20.0,beurre,g,20.0,butter
2103,226,cl,20.0,crème fraîche,cl,20.0,sour cream
2104,226,,1.0,oignon,,1.0,onion
2105,226,,6.0,paupiettes,,6.0,paupiettes
2106,226,g,300.0,champignons de Paris,g,300.0,button mushrooms
2107,227,cuillère à soupe,1.0,thym,tablespoon,1.0,thyme
2108,227,,,sel,,,salt
2109,227,,,poivre,,,pepper
2110,227,,1.0,oignon,,1.0,onion
2111,227,,4.0,poireaux,,4.0,leeks
2112,227,g,800.0,carotte,g,800.0,carrot
2113,227,,1.0,poule,,1.0,chicken
2114,227,g,300.0,navet,g,300.0,turnip
2115,228,,1.0,oignon,,1.0,onion
2116,228,feuille,1.0,de laurier,leaf,1.0,of laurel
2117,228,g,350.0,lard fumé,g,350.0,smoked bacon
2118,228,kg,1.0,choucroute,kg,1.0,sauerkraut
2119,228,g,350.0,palette,g,350.0,palette
2120,228,cuillère à soupe,1.0,saindoux,tablespoon,1.0,lard
2121,228,gousses,2.0,ail,pods,2.0,garlic
2122,228,,10.0,grains genièvre,,10.0,juniper grains
2123,228,cl,25.0,riesling,cl,25.0,riesling
2124,228,g,350.0,pomme de terre,g,350.0,potato
2125,228,,4,saucisses de Strasbourg,,4,Strasbourg sausages
2126,229,cuillère à soupe,1.0,coriandre,tablespoon,1.0,coriander
2127,229,pincées,2.0,sel,pinched,2.0,salt
2128,229,cuillère à café,1.0,huile de sésame,teaspoon,1.0,sesame oil
2129,229,"grosses, cuillères à soupe",2.0,miel,"large, tablespoons",2.0,Honey
2130,229,,1.0,gingembre,,1.0,ginger
2131,229,cuillère à café,0.5,gingembre,teaspoon,0.5,ginger
2132,229,kg,1.2,travers de porc,kg,1.2,pork ribs
2133,229,gousses,2.0,ail,pods,2.0,garlic
2134,229,cuillères à soupe,3.0,sauce soja,tablespoons,3.0,soy sauce
2135,229,cuillère à soupe,1.0,eau,tablespoon,1.0,water
2136,230,,,sel,,,salt
2137,230,,,poivre,,,pepper
2138,230,,,huile d'olive,,,olive oil
2139,230,g,30.0,farine,g,30.0,flour
2140,230,g,500.0,calamar,g,500.0,squid
2141,230,,2.0,oeufs,,2.0,eggs
2142,230,,1.0,citron,,1.0,lemon
2143,231,cuillère à soupe,1.0,cumin,tablespoon,1.0,cumin
2144,231,cuillères à soupe,2.0,curry,tablespoons,2.0,curry
2145,231,cuillères à soupe,2.0,mielliquide,tablespoons,2.0,liquid honey
2146,231,,,sel,,,salt
2147,231,,,poivre,,,pepper
2148,231,cuillères à soupe,2.0,moutarde,tablespoons,2.0,mustard
2149,231,verre,1.0,huile d'olive,glass,1.0,olive oil
2150,231,blancs,4.0,de poulet,whites,4.0,chicken
2151,232,g,70.0,gruyère râpé,g,70.0,grated gruyere
2152,232,,,sel,,,salt
2153,232,,,poivre,,,pepper
2154,232,pincée,1.0,thym,pinch,1.0,thyme
2155,232,feuille,1.0,de laurier,leaf,1.0,of laurel
2156,232,g,20.0,beurre,g,20.0,butter
2157,232,kg,1.0,gnocchi,kg,1.0,gnocchi
2158,232,boîte,1.0,concentré de tomates,box,1.0,tomato paste
2159,232,,1.0,échalote,,1.0,shallot
2160,232,,0.5,leau,,0.5,water
2161,232,gousse,1,ail,pod,1,garlic
2162,233,,1.0,yaourt,,1.0,yogurt
2163,233,blancs,2.0,de poulet,whites,2.0,chicken
2164,233,,,ail,,,garlic
2165,233,cuillères à café,3.0,épices tandoori,teaspoons,3.0,tandoori spices
2166,233,,,paprika,,,paprika
2167,233,,1.0,citron,,1.0,lemon
2168,233,g,10.0,beurre,g,10.0,butter
2169,233,cuillères à café,2.0,crème fraîche,teaspoons,2.0,sour cream
2170,233,cuillère à café,1.0,miel,teaspoon,1.0,Honey
2171,233,boîte,1.0,tomates pelées,box,1.0,peeled tomatoes
2172,233,cuillère à café,1,épices tandoori,teaspoon,1,tandoori spices
2173,234,,,sel,,,salt
2174,234,,,poivre,,,pepper
2175,234,cuillères à soupe,2.0,huile d'olive,tablespoons,2.0,olive oil
2176,234,barquette,1.0,lardons fumés,tray,1.0,smoked bacon
2177,234,,3.0,saucisses de Montbéliard,,3.0,Montbéliard sausages
2178,234,,2.0,saucisses de morteau,,2.0,Morteau sausages
2179,234,,1.0,oignon,,1.0,onion
2180,234,,1.0,chou,,1.0,cabbage
2181,234,,8.0,pommes de terre,,8.0,potatoes
2182,234,,1.0,rôti de porc,,1.0,roast pork
2183,234,bouquets,2,garnis,bouquets,2,garnished
2184,234,cl,20.0,crème,cl,20.0,cream
2185,235,,4.0,clous de girofle,,4.0,cloves
2186,235,,1.0,oignon,,1.0,onion
2187,235,,2.0,poireaux,,2.0,leeks
2188,235,,4.0,carottes,,4.0,carrots
2189,235,g,650.0,boeuf,g,650.0,beef
2190,235,,2.0,os à moelle,,2.0,marrow bones
2191,235,branche,2.0,céleri,branch,2.0,celery
2192,235,gousse,1.0,ail,pod,1.0,garlic
2193,235,bouquet,1.0,garni,bunch,1.0,garni
2194,235,,,sel et poivre,,,salt and pepper
2195,236,,,sel,,,salt
2196,236,cuillères à soupe,4.0,moutarde,tablespoons,4.0,mustard
2197,236,,1.0,cuisse de dinde,,1.0,turkey leg
2198,236,,,herbes de Provence,,,herbs of Provence
2199,236,gousses,2.0,ail,pods,2.0,garlic
2200,236,,,poivre,,,pepper
2201,236,cuillère à soupe,1.0,huile d'olive,tablespoon,1.0,olive oil
2202,236,cuillères à soupe,2.0,miel,tablespoons,2.0,Honey
2203,236,cuillères à soupe,2.0,sauce soja,tablespoons,2.0,soy sauce
2204,237,,,sel,,,salt
2205,237,,,poivre,,,pepper
2206,237,,,persil,,,parsley
2207,237,kg,1.5,moules,kg,1.5,mussels
2208,237,,3.0,échalotes,,3.0,shallots
2209,237,"cl, blanc",25.0,vin sec,"cl, white",25.0,dry wine
2210,237,cl,50.0,crème fraîche épaisse,cl,50.0,thick crème fraîche
2211,237,g,125.0,roquefort,g,125.0,Roquefort
2212,237,,,beurre demi-sel,,,semi-salted butter
2213,238,pincée,1.0,poivre,pinch,1.0,pepper
2214,238,pincée,1.0,sel,pinch,1.0,salt
2215,238,cuillère à café,0.5,gingembre,teaspoon,0.5,ginger
2216,238,g,40.0,beurre,g,40.0,butter
2217,238,g,150.0,noix de saint-jacques,g,150.0,scallops
2218,238,g,150.0,écrevisse,g,150.0,crayfish
2219,238,g,150.0,moules,g,150.0,mussels
2220,238,g,150.0,crevettes,g,150.0,shrimp
2221,238,"cl, blanc",15.0,vin sec,"cl, white",15.0,dry wine
2222,238,,1.0,échalote,,1.0,shallot
2223,238,cl,20,crème épaisse,cl,20,thick cream
2224,238,cl,20.0,crème liquide,cl,20.0,liquid cream
2225,238,cuillère à café,1,concentré de tomates,teaspoon,1,tomato paste
2226,239,,,poivre,,,pepper
2227,239,,,sel,,,salt
2228,239,cuillère à café,1.0,piment,teaspoon,1.0,pepper
2229,239,cuillère à café,1.0,cumin,teaspoon,1.0,cumin
2230,239,,2.0,oignons,,2.0,onions
2231,239,,1.0,poivron rouge,,1.0,red pepper
2232,239,g,150.0,lardons,g,150.0,bacon
2233,239,"g, blanc",500.0,de poulet,"g, white",500.0,chicken
2234,239,"g, blanc",200.0,riz,"g, white",200.0,rice
2235,239,ml,300.0,eau,ml,300.0,water
2236,239,,1,chorizo,,1,chorizo
2237,239,cuillère à café,1.0,paprika,teaspoon,1.0,paprika
2238,239,,1,cube bouillon de volaille,,1,chicken bouillon cube
2239,240,cuillère à café,1.0,huile d'olive,teaspoon,1.0,olive oil
2240,240,pointe de couteau,1.0,piment,knife tip,1.0,pepper
2241,240,cuillère à café,1.0,cumin,teaspoon,1.0,cumin
2242,240,cuillère à café,1.0,curry,teaspoon,1.0,curry
2243,240,,2.0,oignons jaunes,,2.0,yellow onions
2244,240,blancs,4.0,de poulet,whites,4.0,chicken
2245,240,cl,30.0,crème fraîche allégée,cl,30.0,light crème fraîche
2246,240,,,sel et poivre,,,salt and pepper
2247,241,cuillère,1.0,huile,spoon,1.0,oil
2248,241,cuillère,1.0,coriandre,spoon,1.0,coriander
2249,241,ml,150.0,yaourt,ml,150.0,yogurt
2250,241,cuillère à café,1.0,sel,teaspoon,1.0,salt
2251,241,cuillère à café,0.25,curcuma,teaspoon,0.25,turmeric
2252,241,cuillère à café,1.0,chili,teaspoon,1.0,Chile
2253,241,cuillère à café,1.0,gingembre,teaspoon,1.0,ginger
2254,241,"g, blanc",500.0,de poulet,"g, white",500.0,chicken
2255,241,gousse,1.0,ail,pod,1.0,garlic
2256,241,cuillères,4.0,jus de citron,spoons,4.0,lemon juice
2257,241,,,quartier citron vert,,,lime wedge
2258,241,,,salade,,,salad
2259,242,,,poivre,,,pepper
2260,242,,,sucre,,,sugar
2261,242,,,sel,,,salt
2262,242,cuillère à soupe,1.0,cognac,tablespoon,1.0,cognac
2263,242,cuillère à soupe,1.0,huile d'arachide,tablespoon,1.0,peanut oil
2264,242,cuillères à soupe,2.0,vinaigre,tablespoons,2.0,vinegar
2265,242,,1.0,oignon,,1.0,onion
2266,242,,3.0,oeufs,,3.0,eggs
2267,243,verre,0.5,moutarde,glass,0.5,mustard
2268,243,g,400.0,farine,g,400.0,flour
2269,243,,4.0,oeufs,,4.0,eggs
2270,244,,,beurre,,,butter
2271,244,cl,75.0,sauce tomate,cl,75.0,tomato sauce
2272,244,,,sel,,,salt
2273,244,,,poivre,,,pepper
2274,244,,2.0,langues,,2.0,LANGUAGES
2275,244,bouquet,,garni,bunch,,garni
2276,244,,15.0,cornichons,,15.0,pickles
2277,244,,1.0,échalote,,1.0,shallot
2278,245,,,sel,,,salt
2279,245,,,poivre,,,pepper
2280,245,g,30.0,gruyère râpé,g,30.0,grated gruyere
2281,245,g,10.0,beurre,g,10.0,butter
2282,245,"tranches, belles",2.0,jambon,"slices, beautiful",2.0,ham
2283,245,"tranches, belles",4.0,pain de mie,"slices, beautiful",4.0,soft bread
2284,245,,2.0,oeufs,,2.0,eggs
2285,246,,,poivre,,,pepper
2286,246,,1.0,carotte,,1.0,carrot
2287,246,g,100.0,lardons fumés,g,100.0,smoked bacon
2288,246,,4.0,saucisses,,4.0,sausages
2289,246,g,250.0,lentilles vertes,g,250.0,green lentils
2290,246,blanc,1.0,oignon,white,1.0,onion
2291,246,"cuillère à soupe, bouquet",1.0,garni,"tablespoon, bouquet",1.0,garni
2292,247,,,sel,,,salt
2293,247,,,poivre,,,pepper
2294,247,g,25.0,beurre,g,25.0,butter
2295,247,cuillère à café,1.0,origan,teaspoon,1.0,oregano
2296,247,,,muscade,,,nutmeg
2297,247,g,400.0,pâtes,g,400.0,pasta
2298,247,g,100.0,Parmesan,g,100.0,Parmesan
2299,247,g,100.0,mozzarella,g,100.0,Mozzarella
2300,247,g,100.0,chèvre,g,100.0,goat
2301,247,g,50.0,gorgonzola,g,50.0,gorgonzola
2302,248,,,sel,,,salt
2303,248,,,poivre,,,pepper
2304,248,paquet,1.0,lasagnes,pack,1.0,lasagna
2305,248,,,gruyère râpé,,,grated gruyere
2306,248,,2.0,oignons,,2.0,onions
2307,248,cuillère à soupe,1.0,aneth,tablespoon,1.0,dill
2308,248,g,15.0,farine,g,15.0,flour
2309,248,g,30.0,beurre,g,30.0,butter
2310,248,g,500.0,saumon,g,500.0,salmon
2311,248,,75.0,cllait,,75.0,clait
2312,248,gousses,2,ail,pods,2,garlic
2313,249,,,sel,,,salt
2314,249,,,poivre,,,pepper
2315,249,cuillères à soupe,3.0,huile d'olive,tablespoons,3.0,olive oil
2316,249,brins,6.0,thym,strands,6.0,thyme
2317,249,g,200.0,beurre,g,200.0,butter
2318,249,,3.0,courgettes,,3.0,zucchini
2319,249,,3.0,oranges,,3.0,oranges
2320,249,filets,6.0,saint-pierre,nets,6.0,saint peter
2321,249,,3.0,échalotes,,3.0,shallots
2322,249,"cl, blanc",10.0,vin,"cl, white",10.0,wine
2323,249,cl,15,crème liquide,cl,15,liquid cream
2324,250,cl,50.0,crème fraîche,cl,50.0,sour cream
2325,250,,1.0,oignon,,1.0,onion
2326,250,cuillères à soupe,4.0,fond de veau,tablespoons,4.0,veal stock
2327,250,g,800.0,veau,g,800.0,calf
2328,250,cl,250.0,eau,cl,250.0,water
2329,250,,8.0,olives vertes,,8.0,green olives
2330,250,petite boîte,1.0,champignon,small box,1.0,mushroom
2331,251,,1.0,oignon,,1.0,onion
2332,251,,1.0,faisan,,1.0,pheasant
2333,251,,,barde de lard,,,bacon bard
2334,251,gousses,4.0,ail,pods,4.0,garlic
2335,251,g,500.0,champignon,g,500.0,mushroom
2336,251,"verre, blanc",,vin,"glass, white",,wine
2337,251,,,sel,,,salt
2338,251,,,poivre,,,pepper
2339,251,,,thym,,,thyme
2340,251,,1.0,yaourt,,1.0,yogurt
2341,251,g,150,pain,g,150,bread
2342,251,verre,1.0,lait,glass,1.0,milk
2343,251,,,laurier,,,laurel
2344,252,,,huile,,,oil
2345,252,,,sel,,,salt
2346,252,,,poivre,,,pepper
2347,252,poignée,1.0,lardons,handle,1.0,bacon
2348,252,,5.0,oeufs,,5.0,eggs
2349,252,,2.0,pommes de terre,,2.0,potatoes
2350,253,,,poivre,,,pepper
2351,253,cuillère à soupe,1.0,huile d'olive,tablespoon,1.0,olive oil
2352,253,cuillères à soupe,2.0,cognac,tablespoons,2.0,cognac
2353,253,branche,1.0,persil,branch,1.0,parsley
2354,253,brin,1.0,romarin,strand,1.0,rosemary
2355,253,brin,1.0,thym,strand,1.0,thyme
2356,253,feuille,1.0,de laurier,leaf,1.0,of laurel
2357,253,,1.0,oignon,,1.0,onion
2358,253,,1.0,carotte,,1.0,carrot
2359,253,cl,75.0,vin rouge,cl,75.0,red wine
2360,253,gousse,1,ail,pod,1,garlic
2361,253,,2.0,échalotes,,2.0,shallots
2362,254,,,sel,,,salt
2363,254,,,poivre,,,pepper
2364,254,,,thym,,,thyme
2365,254,,,huile d'olive,,,olive oil
2366,254,,2.0,souris d'agneau,,2.0,lamb mouse
2367,254,,,herbes de Provence,,,herbs of Provence
2368,254,gousses,5.0,ail,pods,5.0,garlic
2369,255,,,sel,,,salt
2370,255,branche,1.0,thym,branch,1.0,thyme
2371,255,,1.0,dinde,,1.0,turkey
2372,255,,,échalote,,,shallot
2373,255,bouillon,1.0,de volaille,broth,1.0,of poultry
2374,256,g,600.0,saucisse,g,600.0,sausage
2375,256,g,10.0,gingembre,g,10.0,ginger
2376,256,cuillères à soupe,2.0,huile d'olive,tablespoons,2.0,olive oil
2377,256,,2.0,oignons,,2.0,onions
2378,256,g,400.0,tomates concassées,g,400.0,crushed tomatoes
2379,256,cuillère à café,1.0,piment de Cayenne,teaspoon,1.0,cayenne pepper
2380,256,branches,2.0,thym,branches,2.0,thyme
2381,256,cuillère à café,1.0,curcuma,teaspoon,1.0,turmeric
2382,256,cl,12.0,eau,cl,12.0,water
2383,257,,,vinaigre,,,vinegar
2384,257,,,sel,,,salt
2385,257,,,poivre,,,pepper
2386,257,feuilles,2.0,de laurier,leaves,2.0,of laurel
2387,257,,,farine,,,flour
2388,257,,,beurre,,,butter
2389,257,,2.0,saucisses de morteau,,2.0,Morteau sausages
2390,257,,,pomme de terre,,,potato
2391,257,,,eau,,,water
2392,258,,2.0,carrés sucre,,2.0,sugar squares
2393,258,,,persil,,,parsley
2394,258,,,tomate,,,tomato
2395,258,,1.0,oignon,,1.0,onion
2396,258,,4.0,tomates,,4.0,tomatoes
2397,258,,1.0,poivron rouge,,1.0,red pepper
2398,258,kg,1.0,encornet,kg,1.0,squid
2399,258,"verre, blanc",1.0,vin,"glass, white",1.0,wine
2400,258,,,ail,,,garlic
2401,259,cuillère à café,1.0,huile,teaspoon,1.0,oil
2402,259,,,sel,,,salt
2403,259,,,poivre,,,pepper
2404,259,cuillère à soupe,1.0,crème fraîche,tablespoon,1.0,sour cream
2405,259,,1.0,oignon,,1.0,onion
2406,259,g,120.0,pâtes,g,120.0,pasta
2407,259,g,70.0,chorizo,g,70.0,chorizo
2408,259,,70.0,concentré de tomates,,70.0,tomato paste
2409,259,cuillère à café,1.0,câpres,teaspoon,1.0,capers
2410,259,,,herbes de Provence,,,herbs of Provence
2411,259,feuilles,2,basilic,leaves,2,basil
2412,260,,,gruyère râpé,,,grated gruyere
2413,260,,2.0,oignons,,2.0,onions
2414,260,,,huile d'olive,,,olive oil
2415,260,,6.0,brochet,,6.0,pike
2416,260,boîte,1.0,coulis de tomate,box,1.0,tomato coulis
2417,260,,,herbes de Provence,,,herbs of Provence
2418,260,boîte,1.0,olives vertes,box,1.0,green olives
2419,261,,,persil,,,parsley
2420,261,,,sel,,,salt
2421,261,,,poivre,,,pepper
2422,261,,,beurre,,,butter
2423,261,,4.0,escalopes de veau,,4.0,veal escalopes
2424,261,ml,200.0,crème fraîche épaisse,ml,200.0,thick crème fraîche
2425,261,boîte,1.0,champignons de Paris,box,1.0,button mushrooms
2426,262,,,sel,,,salt
2427,262,,,poivre,,,pepper
2428,262,brins,6.0,persil,strands,6.0,parsley
2429,262,cl,20.0,crème fraîche,cl,20.0,sour cream
2430,262,cuillère,1.0,huile d'olive,spoon,1.0,olive oil
2431,262,g,30.0,beurre,g,30.0,butter
2432,262,g,300.0,tagliatelles,g,300.0,tagliatelle
2433,262,g,250.0,champignon,g,250.0,mushroom
2434,262,gousses,2.0,ail,pods,2.0,garlic
2435,262,g,30.0,parmesan râpé,g,30.0,grated parmesan
2436,263,cuillère à café,0.5,curcuma,teaspoon,0.5,turmeric
2437,263,cuillère à café,1.0,cumin en poudre,teaspoon,1.0,cumin powder
2438,263,cuillère à café,1.0,coriandre,teaspoon,1.0,coriander
2439,263,cuillères à soupe,2.0,huile d'olive,tablespoons,2.0,olive oil
2440,263,,1.0,citron vert,,1.0,lime
2441,263,cuillère à soupe,1.0,menthe,tablespoon,1.0,mint
2442,263,blancs,4.0,de poulet,whites,4.0,chicken
2443,264,,,sel,,,salt
2444,264,,,poivre,,,pepper
2445,264,,,piment,,,pepper
2446,264,,1.0,oignon,,1.0,onion
2447,264,blancs,2.0,de poulet,whites,2.0,chicken
2448,264,,,citron,,,lemon
2449,264,,,paprika,,,paprika
2450,265,,1.0,poireau,,1.0,leek
2451,265,,1.0,poivron vert,,1.0,green pepper
2452,265,cuillères à soupe,2.0,huile d'arachide,tablespoons,2.0,peanut oil
2453,265,cuillère à soupe,1.0,sucre roux,tablespoon,1.0,brown sugar
2454,265,cuillère à café,1.0,gingembre,teaspoon,1.0,ginger
2455,265,"g, filet",200.0,de poulet,"g, net",200.0,chicken
2456,265,g,200.0,nouilles de riz,g,200.0,rice noodles
2457,265,cl,4.5,sauce soja,cl,4.5,soy sauce
2458,265,cl,4.5,nuoc mam,cl,4.5,fish sauce
2459,265,gousses,2.0,ail,pods,2.0,garlic
2460,265,,1,échalote,,1,shallot
2461,265,g,30.0,germes de soja,g,30.0,bean sprouts
2462,266,,,sel,,,salt
2463,266,,,poivre,,,pepper
2464,266,cuillère à soupe,1.0,farine,tablespoon,1.0,flour
2465,266,,2.0,carottes,,2.0,carrots
2466,266,g,75.0,beurre,g,75.0,butter
2467,266,kg,1.2,veau,kg,1.2,calf
2468,266,,4.0,échalotes,,4.0,shallots
2469,266,g,50.0,concentré de tomates,g,50.0,tomato paste
2470,266,"cl, blanc",30.0,vin sec,"cl, white",30.0,dry wine
2471,266,cl,30.0,eau,cl,30.0,water
2472,266,gousses,2,ail,pods,2,garlic
2473,266,g,125.0,champignon,g,125.0,mushroom
2474,266,bouquet,1,garni,bunch,1,garni
2475,267,paquet,1.0,nouilles chinoises,pack,1.0,chinese noodles
2476,267,,12.0,crevettes,,12.0,shrimp
2477,267,,2.0,carottes,,2.0,carrots
2478,267,,1.0,courgette,,1.0,zucchini
2479,267,,,sauce soja,,,soy sauce
2480,267,,,huile d'olive,,,olive oil
2481,267,cuillères à soupe,2.0,sucre,tablespoons,2.0,sugar
2482,267,,1.0,oignon,,1.0,onion
2483,267,,,poivre,,,pepper
2484,268,,,sel,,,salt
2485,268,,,poivre,,,pepper
2486,268,,,huile d'olive,,,olive oil
2487,268,cl,10.0,crème fraîche,cl,10.0,sour cream
2488,268,g,40.0,beurre,g,40.0,butter
2489,268,,,oignon,,,onion
2490,268,,,queue,,,tail
2491,268,,,échalote,,,shallot
2492,268,"verre, blanc",0.5,vin,"glass, white",0.5,wine
2493,268,,0.5,citron,,0.5,lemon
2494,268,,,herbes de Provence,,,herbs of Provence
2495,269,"gros, poignée",1.0,petite sel,"big, handful",1.0,small salt
2496,269,,1.0,oignon,,1.0,onion
2497,269,,3.0,poireaux,,3.0,leeks
2498,269,,3.0,carottes,,3.0,carrots
2499,269,kg,1.5,langue,kg,1.5,language
2500,269,,1.0,navet,,1.0,turnip
2501,269,,1.0,os à moelle,,1.0,marrow bones
2502,269,boîte,1.0,sauce tomate,box,1.0,tomato sauce
2503,269,cuillère à soupe,1.0,rase farine,tablespoon,1.0,level flour
2504,269,g,25.0,beurre,g,25.0,butter
2505,269,,,bouillon,,,broth
2506,269,,0.5,échalote,,0.5,shallot
2507,269,,10,cornichons,,10,pickles
2508,270,g,20.0,beurre,g,20.0,butter
2509,270,,1.0,cube de bouillon,,1.0,bouillon cube
2510,270,,2.0,pavés lieu noir,,2.0,black pollock paving stones
2511,270,cl,20.0,eau,cl,20.0,water
2512,270,,,citron,,,lemon
2513,270,,1.0,échalote,,1.0,shallot
2514,271,,2.0,oignons,,2.0,onions
2515,271,,2.0,tomates,,2.0,tomatoes
2516,271,cuillère à café,1.0,poivre,teaspoon,1.0,pepper
2517,271,cuillère à café,1.0,sel,teaspoon,1.0,salt
2518,271,cuillères à soupe,6.0,huile d'olive,tablespoons,6.0,olive oil
2519,271,cuillère à soupe,1.0,thym,tablespoon,1.0,thyme
2520,271,cuillère à soupe,1.0,origan,tablespoon,1.0,oregano
2521,271,blancs,8.0,de poulet,whites,8.0,chicken
2522,271,,2.0,jus de citron,,2.0,lemon juice
2523,271,gousse,1.0,petite ail,pod,1.0,small garlic
2524,271,poignée,1,menthe,handle,1,mint
2525,271,cuillère à café,1.0,paprika,teaspoon,1.0,paprika
2526,272,,,sel,,,salt
2527,272,,3.0,oignons,,3.0,onions
2528,272,,3.0,carottes,,3.0,carrots
2529,272,cuillères à café,6.0,margarine,teaspoons,6.0,margarine
2530,272,,1.0,chou,,1.0,cabbage
2531,272,,,sel,,,salt
2532,272,,,poivre,,,pepper
2533,272,,,persil,,,parsley
2534,272,g,200.0,boeuf haché,g,200.0,ground beef
2535,272,g,200.0,haché de veau,g,200.0,minced veal
2536,272,,3,biscottes,,3,rusks
2537,272,,,ail,,,garlic
2538,273,,1.0,poivre,,1.0,pepper
2539,273,branche,1.0,thym,branch,1.0,thyme
2540,273,,1.0,courge,,1.0,squash
2541,273,,1.0,crottin de chèvre,,1.0,goat droppings
2542,273,cl,20.0,crème,cl,20.0,cream
2543,273,gousses,2.0,ail,pods,2.0,garlic
2544,274,,,sel,,,salt
2545,274,,,poivre,,,pepper
2546,274,,,huile d'olive,,,olive oil
2547,274,,1.0,poivron rouge,,1.0,red pepper
2548,274,,1.0,courgette,,1.0,zucchini
2549,274,,3.0,carottes,,3.0,carrots
2550,274,,3.0,poireaux,,3.0,leeks
2551,274,g,250.0,champignons de Paris,g,250.0,button mushrooms
2552,274,,,soja,,,soy
2553,274,g,500.0,scampi,g,500.0,scampi
2554,274,"g, filet",250,de poulet,"g, net",250,chicken
2555,274,g,250.0,porc,g,250.0,pork
2556,274,filet,,boeuf,net,,beef
2557,274,g,250,nouilles,g,250,noodles
2558,274,,,sauce soja,,,soy sauce
2559,275,,,huile,,,oil
2560,275,,2.0,oignons,,2.0,onions
2561,275,cuillères à soupe,2.0,farine,tablespoons,2.0,flour
2562,275,,6.0,pommes de terre,,6.0,potatoes
2563,275,,1.0,oeuf,,1.0,egg
2564,275,botte,1.0,ciboulette,boot,1.0,chives
2565,701,cl,15.0,crème fraîche,cl,15.0,sour cream
2566,701,g,90.0,lardons,g,90.0,bacon
2567,701,g,350.0,torsades,g,350.0,twists
2568,701,,1.0,oeuf,,1.0,egg
2569,701,g,50.0,Parmesan,g,50.0,Parmesan
2570,701,,,sel et poivre,,,salt and pepper
2571,276,,,vin rouge,,,red wine
2572,276,,,huile d'olive,,,olive oil
2573,276,,,sel,,,salt
